X,Y,id,pk_uid,cod_stz,den_uff,cod_gnz,x_stz,y_stz,tip_gnz,gnz,org,origine,indirizzo,comune,provincia,gestore,categoria,cod_sta,data_agg,data_elab,icon_url
10.5398447634585,43.1003731157305,"45","45",RTT0900420SF,S.VINCENZO,RTT0900420GK,"1625335.75","4773126.43","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Piazza Stazione,S.Vincenzo,LI,RFI,silver,"0100","20190904","20191024",./0.png
11.2743023119022,43.800257168316,"46","46",RTT0901517SF,SALVIATI,RTT0901517GK,"1682983.285814","4852218.015069","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Firenze,Firenze,FI,RFI,bronze,"0100","20190904","20191024",./0.png
11.4284862409611,42.9647626171514,"47","47",RTT0902377SF,SAN D'ANGELO - CINIGIANO,RTT0902377GK,"1698089.63","4759777.42","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Viale Stazione,Montalcino,SI,,,"0200","20190904","20191024",./0.png
11.5933466999059,43.152978047477,"48","48",RTT0903337SF,SAN GIOVANNI,RTT0903337GK,"1710889.67735","4781082.340829","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Via della Stazione,San Giovanni D'Asso,SI,,,"0200","20190904","20191024",./0.png
11.8010226860177,43.4467330043015,"49","49",RTT0902077SF,SAN GIULIANO,RTT0902077GK,"1726681.9","4814252.07","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Raccordo Autostradale di Arezzo,Arezzo,PI,,,"0200","20190904","20191024",./0.png
10.3147771278801,43.5606698688229,"50","50",RTT0900006SF,SAN MARCO,RTT0900006GK,"1606215.12","4823934.6","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Piazza Enrico Bartelloni,Livorno,LI,,,"0200","20190904","20191024",./0.png
12.1349239059897,43.5699024785044,"51","51",RTT0900173SF,SANSEPOLCRO,RTT0900173GK,"1753186.38","4828895.69","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Piazza Stazione,Sansepolcro,AR,,,"0200","20190904","20191024",./0.png
10.4896418178486,43.4372717127441,"52","52",RTT0900523SF,SANTA LUCE,RTT0900523GK,"1620583.53","4810467.91","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Via Rosignanina,Santa Luce,PI,,,"0200","20190904","20191024",./0.png
11.8539227266674,43.628069634192,"53","53",RTT0902015SF,SANTA MAMA,RTT0902015GK,"1730271.16","4834538.16","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Localita' Santa Mama,Subbiano,AR,TFT,,"0300","20190904","20191024",./0.png
10.3803759228948,43.7310604036758,"54","54",RTT0900105SF,SCALO DI PISA SAN ROSSORE,RTT0900105GK,"1611198.61","4842944.82","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Via di Campaldo,Pisa,PI,,,"0200","20190904","20191024",./0.png
10.8367739368011,42.9420242895798,"55","55",RTT0900344SF,SCARLINO,RTT0900344GK,"1649884.39","4756027.58","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Via Matteotti n. 26,Scarlino,GR,RFI,bronze,"0100","20190904","20191024",./0.png
11.496956762988,43.8425042254195,"56","56",RTT0901689SF,SCOPETI,RTT0901689GK,"1700753.53397","4857426.865253","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Via Leonardo da Vinci,Rufina,FI,RFI,bronze,"0100","20190904","20191024",./0.png
